Type,Age Classification,Count,Total Count per Type
Movie,10,3,20
Movie,11,1,20
Movie,13,4,20
Movie,14,2,20
Movie,15,8,20
Movie,16,2,20
TV Show,2,2,20
TV Show,4,1,20
TV Show,6,1,20
TV Show,7,1,20
TV Show,8,1,20
TV Show,9,1,20
TV Show,10,2,20
TV Show,13,3,20
TV Show,14,1,20
TV Show,15,5,20
TV Show,16,2,20
