Title,Age Rating,Classified Age Range,Release Year,From Last Decade,Age
Lilo & Stitch: The Series,age 6+,05-Aug,2003,No,6
ChalkZone,age 6+,05-Aug,2002,No,6
Teamo Supremo,age 6+,05-Aug,2002,No,6
Anne of Green Gables: The Animated Series,age 6+,05-Aug,2001,No,6
Pokémon: Master Quest,age 6+,05-Aug,2001,No,6
The Fairly OddParents,age 6+,05-Aug,2001,No,6
Arthur's Perfect Christmas,age 6+,05-Aug,2000,No,6
D'Myna Leagues,age 6+,05-Aug,2000,No,6
Monster Rancher,age 6+,05-Aug,2000,No,6
Digimon: Digital Monsters,age 6+,05-Aug,1999,No,6
SpongeBob SquarePants,age 6+,05-Aug,1999,No,6
Oggy and the Cockroaches,age 6+,05-Aug,1998,No,6
Pokémon,age 6+,05-Aug,1998,No,6
The Weird Al Show,age 6+,05-Aug,1997,No,6
Pinky and the Brain,age 6+,05-Aug,1995,No,6
Hercules,age 6+,05-Aug,1995,No,6
Aaahh!!! Real Monsters,age 6+,05-Aug,1994,No,6
2 Stupid Dogs,age 6+,05-Aug,1993,No,6
Fievel's American Tales,age 6+,05-Aug,1992,No,6
Darkwing Duck,age 6+,05-Aug,1991,No,6
Doug,age 6+,05-Aug,1991,No,6
Rugrats,age 6+,05-Aug,1991,No,6
Bobby's World,age 6+,05-Aug,1990,No,6
The Legend of Zelda,age 6+,05-Aug,1989,No,6
Garfield and Friends,age 6+,05-Aug,1988,No,6
My Little Pony 'n Friends,age 6+,05-Aug,1986,No,6
The Dukes,age 6+,05-Aug,1983,No,6
Spider-Man and His Amazing Friends,age 6+,05-Aug,1981,No,6
Inch High Private Eye,age 6+,05-Aug,1973,No,6
Fat Albert and the Cosby Kids,age 6+,05-Aug,1972,No,6
Dastardly and Muttley,age 6+,05-Aug,1969,No,6
The Perils of Penelope Pitstop,age 6+,05-Aug,1969,No,6
Wacky Races,age 6+,05-Aug,1968,No,6
Speed Racer,age 6+,05-Aug,1967,No,6
Aquaman,age 6+,05-Aug,1967,No,6
The Herculoids,age 6+,05-Aug,1967,No,6
Batfink,age 6+,05-Aug,1966,No,6
Jonny Quest,age 6+,05-Aug,1964,No,6
Huckleberry Hound,age 6+,05-Aug,1958,No,6
Craig Before the Creek,age 7+,05-Aug,2023,Yes,7
Ninjago: Dragons Rising,age 7+,05-Aug,2023,Yes,7
SpongeBob Square Pants Presents The Tidal Zone,age 7+,05-Aug,2023,Yes,7
Reindeer in Here,age 7+,05-Aug,2022,Yes,7
Monster High,age 7+,05-Aug,2022,Yes,7
The Fairly OddParents: Fairly Odder,age 7+,05-Aug,2022,Yes,7
Looney Tunes Cartoons Valentine's Extwavaganza,age 7+,05-Aug,2022,Yes,7
The Guava Juice Show,age 7+,05-Aug,2021,Yes,7
Supa Strikas: Rookie Season,age 7+,05-Aug,2021,Yes,7
Star Trek: Prodigy,age 7+,05-Aug,2021,Yes,7
Karma's World,age 7+,05-Aug,2021,Yes,7
Lego Star Wars Terrifying Tales,age 7+,05-Aug,2021,Yes,7
The Ghost and Molly McGee,age 7+,05-Aug,2021,Yes,7
Looney Tunes Cartoons Back to School Special,age 7+,05-Aug,2021,Yes,7
Descendants: The Royal Wedding,age 7+,05-Aug,2021,Yes,7
Johnny Test (2021),age 7+,05-Aug,2021,Yes,7
Middlemost Post,age 7+,05-Aug,2021,Yes,7
Ewoks,age 7+,05-Aug,2021,Yes,7
Onyx Monster Mysteries,age 7+,05-Aug,2020,Yes,7
Animaniacs,age 7+,05-Aug,2020,Yes,7
Marvel Battleworld: Mystery of the Thanostones,age 7+,05-Aug,2020,Yes,7
Looney Tunes Cartoons,age 7+,05-Aug,2020,Yes,7
Ollie's Pack,age 7+,05-Aug,2020,Yes,7
Carmen Sandiego: To Steal or Not to Steal,age 7+,05-Aug,2020,Yes,7
101 Dalmatian Street,age 7+,05-Aug,2020,Yes,7
Deer Squad,age 7+,05-Aug,2020,Yes,7
It's Pony,age 7+,05-Aug,2020,Yes,7
Kipo and the Age of Wonderbeasts,age 7+,05-Aug,2020,Yes,7
Mr. Magoo (2019),age 7+,05-Aug,2019,Yes,7
Max & Maestro,age 7+,05-Aug,2019,Yes,7
Spirit Riding Free: Spirit of Christmas,age 7+,05-Aug,2019,Yes,7
Dino Girl Gauko,age 7+,05-Aug,2019,Yes,7
L.O.L. Surprise! Winter Disco,age 7+,05-Aug,2019,Yes,7
The Casagrandes,age 7+,05-Aug,2019,Yes,7
Lego Jurassic World: Legend of Isla Nublar,age 7+,05-Aug,2019,Yes,7
Middle School Moguls,age 7+,05-Aug,2019,Yes,7
Mighty Mike,age 7+,05-Aug,2019,Yes,7
SpongeBob's Big Birthday Blowout,age 7+,05-Aug,2019,Yes,7
Scooby-Doo and Guess Who?,age 7+,05-Aug,2019,Yes,7
Victor and Valentino,age 7+,05-Aug,2019,Yes,7
Care Bears: Unlock the Magic,age 7+,05-Aug,2019,Yes,7
Carmen Sandiego,age 7+,05-Aug,2019,Yes,7
Marvel Rising: Chasing Ghosts,age 7+,05-Aug,2019,Yes,7
Young Justice: Outsiders,age 7+,05-Aug,2019,Yes,7
Pinky Malinky,age 7+,05-Aug,2019,Yes,7
Lego Star Wars: All Stars,age 7+,05-Aug,2018,Yes,7
Star Wars Resistance,age 7+,05-Aug,2018,Yes,7
Marvel Rising: Secret Warriors,age 7+,05-Aug,2018,Yes,7
Rise of the Teenage Mutant Ninja Turtles,age 7+,05-Aug,2018,Yes,7
Total DramaRama,age 7+,05-Aug,2018,Yes,7
Transformers: Cyberverse,age 7+,05-Aug,2018,Yes,7
Lego Ninjago: Masters of Spinjitzu: Hunted,age 7+,05-Aug,2018,Yes,7
Marvel Rising: Initiation,age 7+,05-Aug,2018,Yes,7
Cupcake and Dino -- General Services,age 7+,05-Aug,2018,Yes,7
Harvey Street Kids,age 7+,05-Aug,2018,Yes,7
Big City Greens,age 7+,05-Aug,2018,Yes,7
Legend of the Three Caballeros,age 7+,05-Aug,2018,Yes,7
Lego Ninjago: Masters of Spinjitzu: Possession,age 7+,05-Aug,2018,Yes,7
Nate Is Late,age 7+,05-Aug,2018,Yes,7
Spy Kids: Mission Critical,age 7+,05-Aug,2018,Yes,7
Apple & Onion,age 7+,05-Aug,2018,Yes,7
The Adventures of Kid Danger,age 7+,05-Aug,2018,Yes,7
JingleKids,age 7+,05-Aug,2017,Yes,7
Big Hero 6,age 7+,05-Aug,2017,Yes,7
Stretch Armstrong and the Flex Fighters,age 7+,05-Aug,2017,Yes,7
Pokémon: Sun and Moon,age 7+,05-Aug,2017,Yes,7
Zak Storm,age 7+,05-Aug,2017,Yes,7
Robotia,age 7+,05-Aug,2017,Yes,7
Mysticons,age 7+,05-Aug,2017,Yes,7
Marvel's Spider-Man,age 7+,05-Aug,2017,Yes,7
Glitter Force Doki Doki,age 7+,05-Aug,2017,Yes,7
Welcome to the Wayne,age 7+,05-Aug,2017,Yes,7
Kody Kapow,age 7+,05-Aug,2017,Yes,7
Hotel Transylvania: The Series,age 7+,05-Aug,2017,Yes,7
Puss in Book: Trapped in an Epic Tale,age 7+,05-Aug,2017,Yes,7
Billy Dilley's Super-Duper Subterranean Summer,age 7+,05-Aug,2017,Yes,7
Spirit Riding Free,age 7+,05-Aug,2017,Yes,7
Lego Ninjago: Masters of Spinjitzu: The Hands of Time,age 7+,05-Aug,2017,Yes,7
Fruit Ninja Frenzy Force,age 7+,05-Aug,2017,Yes,7
Kings of Atlantis,age 7+,05-Aug,2017,Yes,7
Marvel's Rocket & Groot,age 7+,05-Aug,2017,Yes,7
Legend Quest,age 7+,05-Aug,2017,Yes,7
Bunsen Is a Beast,age 7+,05-Aug,2017,Yes,7
"Ronja, the Robber's Daughter",age 7+,05-Aug,2017,Yes,7
Hanazuki: Full of Treasures,age 7+,05-Aug,2017,Yes,7
My Knight and Me,age 7+,05-Aug,2016,Yes,7
Skylanders Academy,age 7+,05-Aug,2016,Yes,7
Kuu Kuu Harajuku,age 7+,05-Aug,2016,Yes,7
Mighty Magiswords,age 7+,05-Aug,2016,Yes,7
Right Now Kapow,age 7+,05-Aug,2016,Yes,7
Regal Academy,age 7+,05-Aug,2016,Yes,7
Looped,age 7+,05-Aug,2016,Yes,7
Zorro: The Chronicles,age 7+,05-Aug,2016,Yes,7
Atomic Puppet,age 7+,05-Aug,2016,Yes,7
Lego Star Wars: The Freemaker Adventures,age 7+,05-Aug,2016,Yes,7
SpacePOP,age 7+,05-Aug,2016,Yes,7
Counterfeit Cat,age 7+,05-Aug,2016,Yes,7
Lego Ninjago: Masters of Spinjitzu: Skybound,age 7+,05-Aug,2016,Yes,7
The Deep,age 7+,05-Aug,2016,Yes,7
Lego Bionicle: The Journey to One,age 7+,05-Aug,2016,Yes,7
Bunnicula,age 7+,05-Aug,2016,Yes,7
Supernoobs,age 7+,05-Aug,2016,Yes,7
OK K.O.! Let's Be Heroes,age 7+,05-Aug,2016,Yes,7
Lego Nexo Knights,age 7+,05-Aug,2015,Yes,7
The O.W.C.A. Files,age 7+,05-Aug,2015,Yes,7
Little Witch Academia,age 7+,05-Aug,2015,Yes,7
The Mr. Peabody & Sherman Show,age 7+,05-Aug,2015,Yes,7
DC Super Hero Girls,age 7+,05-Aug,2015,Yes,7
Star Darlings,age 7+,05-Aug,2015,Yes,7
Wabbit,age 7+,05-Aug,2015,Yes,7
Miraculous: Tales of Ladybug & Cat Noir,age 7+,05-Aug,2015,Yes,7
Dinotrux,age 7+,05-Aug,2015,Yes,7
Alvinnn!!! and the Chipmunks,age 7+,05-Aug,2015,Yes,7
Pig Goat Banana Cricket,age 7+,05-Aug,2015,Yes,7
Lego Star Wars: Droid Tales,age 7+,05-Aug,2015,Yes,7
H2O: Mermaid Adventures,age 7+,05-Aug,2015,Yes,7
Harvey Beaks,age 7+,05-Aug,2015,Yes,7
Lego Ninjago: Masters of Spinjitzu: The Tournament of Elements,age 7+,05-Aug,2015,Yes,7
Star vs. the Forces of Evil,age 7+,05-Aug,2015,Yes,7
Larva,age 7+,05-Aug,2015,Yes,7
Best Sports Ever!,age 7+,05-Aug,2014,Yes,7
All Hail King Julien,age 7+,05-Aug,2014,Yes,7
Penn Zero: Part-Time Hero,age 7+,05-Aug,2014,Yes,7
Sonic Boom,age 7+,05-Aug,2014,Yes,7
Lego: Batman Be-Leaguered,age 7+,05-Aug,2014,Yes,7
Teenage Fairytale Dropouts,age 7+,05-Aug,2014,Yes,7
Breadwinners,age 7+,05-Aug,2014,Yes,7
Wendy,age 7+,05-Aug,2013,No,7
B-Daman Crossfire,age 7+,05-Aug,2013,No,7
Wander Over Yonder,age 7+,05-Aug,2013,No,7
Rabbids Invasion,age 7+,05-Aug,2013,No,7
Camp Lakebottom,age 7+,05-Aug,2013,No,7
Crafty Kids Club,age 7+,05-Aug,2013,No,7
Pac-Man and the Ghostly Adventures,age 7+,05-Aug,2013,No,7
Teen Titans Go!,age 7+,05-Aug,2013,No,7
Monsters vs. Aliens,age 7+,05-Aug,2013,No,7
Legends of Chima,age 7+,05-Aug,2013,No,7
Rocket Monkeys,age 7+,05-Aug,2013,No,7
Robot and Monster,age 7+,05-Aug,2012,No,7
Slugterra,age 7+,05-Aug,2012,No,7
Dinofroz,age 7+,05-Aug,2012,No,7
Matt Hatter Chronicles,age 7+,05-Aug,2012,No,7
Wild Grinders,age 7+,05-Aug,2012,No,7
Ultimate Spider-Man,age 7+,05-Aug,2012,No,7
The Aquabats! Super Show!,age 7+,05-Aug,2012,No,7
Glitter Force,age 7+,05-Aug,2012,No,7
Barbie: Life in the Dreamhouse,age 7+,05-Aug,2012,No,7
Motu Patlu,age 7+,05-Aug,2012,No,7
Groove High,age 7+,05-Aug,2012,No,7
Archie's Funhouse,age 7+,05-Aug,2011,No,7
Rated A for Awesome,age 7+,05-Aug,2011,No,7
Scaredy Squirrel,age 7+,05-Aug,2011,No,7
LEGO Ninjago: Masters of Spinjitzu,age 7+,05-Aug,2011,No,7
Martha and Friends,age 7+,05-Aug,2010,No,7
Sabrina's Secret Life,age 7+,05-Aug,2010,No,7
Metajets,age 7+,05-Aug,2010,No,7
Planet Sheen,age 7+,05-Aug,2010,No,7
NFL Rush Zone,age 7+,05-Aug,2010,No,7
Scan2Go,age 7+,05-Aug,2010,No,7
Pokémon: Diamond and Pearl: Sinnoh League Victors,age 7+,05-Aug,2010,No,7
Scooby-Doo! Mystery Incorporated,age 7+,05-Aug,2010,No,7
Hero: 108,age 7+,05-Aug,2010,No,7
Contraptus,age 7+,05-Aug,2009,No,7
Shelldon,age 7+,05-Aug,2009,No,7
Fanboy and Chum Chum,age 7+,05-Aug,2009,No,7
Gormiti,age 7+,05-Aug,2009,No,7
The Super Hero Squad Show,age 7+,05-Aug,2009,No,7
The League of Super Evil,age 7+,05-Aug,2009,No,7
RollBots,age 7+,05-Aug,2009,No,7
Kid vs. Kat,age 7+,05-Aug,2008,No,7
The Minimighty Kids,age 7+,05-Aug,2008,No,7
The Marvelous Misadventures of Flapjack,age 7+,05-Aug,2008,No,7
Monster Buster Club,age 7+,05-Aug,2008,No,7
Speed Racer: The Next Generation,age 7+,05-Aug,2008,No,7
The Mighty B!,age 7+,05-Aug,2008,No,7
Pokémon: Diamond and Pearl: Battle Dimension,age 7+,05-Aug,2008,No,7
World of Quest,age 7+,05-Aug,2008,No,7
The Spectacular Spider-Man,age 7+,05-Aug,2008,No,7
Supa Strikas,age 7+,05-Aug,2008,No,7
Freefonix,age 7+,05-Aug,2008,No,7
Foster's Home for Imaginary Friends: Destination Imagination,age 7+,05-Aug,2008,No,7
Master Raindrop,age 7+,05-Aug,2008,No,7
Dino Squad,age 7+,05-Aug,2007,No,7
Sushi Pack,age 7+,05-Aug,2007,No,7
Chowder,age 7+,05-Aug,2007,No,7
Magi-Nation,age 7+,05-Aug,2007,No,7
Tak and the Power of Juju,age 7+,05-Aug,2007,No,7
Tai Chi Chasers,age 7+,05-Aug,2007,No,7
Pokémon: Diamond and Pearl,age 7+,05-Aug,2007,No,7
El Tigre: The Adventures of Manny Rivera,age 7+,05-Aug,2007,No,7
Grossology,age 7+,05-Aug,2007,No,7
I Got a Rocket,age 7+,05-Aug,2006,No,7
Chaotic,age 7+,05-Aug,2006,No,7
Yin Yang Yo!,age 7+,05-Aug,2006,No,7
Legion of Super Heroes,age 7+,05-Aug,2006,No,7
Horseland,age 7+,05-Aug,2006,No,7
The Secret Show,age 7+,05-Aug,2006,No,7
Growing Up Creepie,age 7+,05-Aug,2006,No,7
Viva Pinata,age 7+,05-Aug,2006,No,7
Pokémon Chronicles,age 7+,05-Aug,2006,No,7
Squirrel Boy,age 7+,05-Aug,2006,No,7
Spider Riders,age 7+,05-Aug,2006,No,7
The Emperor's New School,age 7+,05-Aug,2006,No,7
Cedric,age 7+,05-Aug,2005,No,7
Monster Allergy,age 7+,05-Aug,2005,No,7
Johnny Test,age 7+,05-Aug,2005,No,7
Coconut Fred's Fruit Salad Island,age 7+,05-Aug,2005,No,7
Loonatics: Unleashed,age 7+,05-Aug,2005,No,7
Captain Planet and the Planeteers,age 7+,05-Aug,2005,No,7
Time Warp Trio,age 7+,05-Aug,2005,No,7
Camp Lazlo,age 7+,05-Aug,2005,No,7
Dragon Booster,age 7+,05-Aug,2004,No,7
Tracey McBean,age 7+,05-Aug,2004,No,7
Super Robot Monkey Team Hyperforce Go!,age 7+,05-Aug,2004,No,7
Foster's Home for Imaginary Friends,age 7+,05-Aug,2004,No,7
Justice League Unlimited,age 7+,05-Aug,2004,No,7
My Dad the Rock Star,age 7+,05-Aug,2003,No,7
Duck Dodgers,age 7+,05-Aug,2003,No,7
All Grown Up,age 7+,05-Aug,2003,No,7
Teenage Mutant Ninja Turtles,age 7+,05-Aug,2003,No,7
Ultimate Muscle: The Kinnikuman Legacy,age 7+,05-Aug,2002,No,7
Kirby: Right Back at Ya!,age 7+,05-Aug,2002,No,7
Mucha Lucha!,age 7+,05-Aug,2002,No,7
He-Man and the Masters of the Universe (2002),age 7+,05-Aug,2002,No,7
The Adventures of Jimmy Neutron,age 7+,05-Aug,2002,No,7
Jacques Cousteau's Ocean Tales,age 7+,05-Aug,2002,No,7
The Future Is Wild,age 7+,05-Aug,2002,No,7
The Tick,age 7+,05-Aug,2001,No,7
The Mummy: The Animated Series,age 7+,05-Aug,2001,No,7
Mary-Kate and Ashley in Action!,age 7+,05-Aug,2001,No,7
The Proud Family,age 7+,05-Aug,2001,No,7
Cubix,age 7+,05-Aug,2001,No,7
Lloyd in Space,age 7+,05-Aug,2001,No,7
Beyblade,age 7+,05-Aug,2001,No,7
X-Men: Evolution,age 7+,05-Aug,2000,No,7
As Told by Ginger,age 7+,05-Aug,2000,No,7
Static Shock,age 7+,05-Aug,2000,No,7
Kong: The Animated Series,age 7+,05-Aug,2000,No,7
NASCAR Racers,age 7+,05-Aug,1999,No,7
"Mike, Lu & Og",age 7+,05-Aug,1999,No,7
Rescue Heroes,age 7+,05-Aug,1999,No,7
Sabrina: The Animated Series,age 7+,05-Aug,1999,No,7
Rocket Power,age 7+,05-Aug,1999,No,7
The Wild Thornberrys,age 7+,05-Aug,1998,No,7
CatDog,age 7+,05-Aug,1998,No,7
Recess,age 7+,05-Aug,1997,No,7
Johnny Bravo,age 7+,05-Aug,1997,No,7
The Angry Beavers,age 7+,05-Aug,1997,No,7
KaBlam!,age 7+,05-Aug,1996,No,7
Hey Arnold!,age 7+,05-Aug,1996,No,7
Jumanji: The Animated Series,age 7+,05-Aug,1996,No,7
The Incredible Hulk (1996),age 7+,05-Aug,1996,No,7
Superman: The Animated Series,age 7+,05-Aug,1996,No,7
Dexter's Laboratory,age 7+,05-Aug,1996,No,7
The Sylvester & Tweety Mysteries,age 7+,05-Aug,1995,No,7
Iron Man (1994),age 7+,05-Aug,1994,No,7
Street Sharks,age 7+,05-Aug,1994,No,7
Where on Earth Is Carmen Sandiego?,age 7+,05-Aug,1994,No,7
Animaniacs,age 7+,05-Aug,1993,No,7
SWAT Kats: The Radical Squadron,age 7+,05-Aug,1993,No,7
The Adventures of Sonic the Hedgehog,age 7+,05-Aug,1993,No,7
X-Men,age 7+,05-Aug,1992,No,7
ToonHeads,age 7+,05-Aug,1992,No,7
Conan the Adventurer,age 7+,05-Aug,1992,No,7
The Addams Family (Animated TV Series),age 7+,05-Aug,1992,No,7
Casper & Friends,age 7+,05-Aug,1990,No,7
Tiny Toon Adventures,age 7+,05-Aug,1990,No,7
Super Mario Bros. Super Show,age 7+,05-Aug,1989,No,7
Bravestarr,age 7+,05-Aug,1987,No,7
The Adventures of the Galaxy Rangers,age 7+,05-Aug,1986,No,7
The Real Ghostbusters,age 7+,05-Aug,1986,No,7
Ghostbusters: The Animated Series,age 7+,05-Aug,1986,No,7
She-Ra: Princess of Power,age 7+,05-Aug,1985,No,7
Robotech,age 7+,05-Aug,1985,No,7
ThunderCats (1980s),age 7+,05-Aug,1985,No,7
Voltron: Lion Force,age 7+,05-Aug,1984,No,7
Voltron,age 7+,05-Aug,1984,No,7
Heathcliff,age 7+,05-Aug,1984,No,7
He-Man and the Masters of the Universe,age 7+,05-Aug,1983,No,7
Spider-Man (1981 TV Show),age 7+,05-Aug,1981,No,7
Spider-Woman,age 7+,05-Aug,1979,No,7
The Story of the Faithful Wookiee,age 7+,05-Aug,1978,No,7
The Archie Show,age 7+,05-Aug,1968,No,7
The Secret Squirrel Show,age 7+,05-Aug,1965,No,7
Underdog,age 7+,05-Aug,1964,No,7
Astro Boy (1960s),age 7+,05-Aug,1963,No,7
Looney Tunes,age 7+,05-Aug,1930,No,7
Zuhu Ka Zalzala,age 8+,05-Aug,2024,Yes,8
Iwájú,age 8+,05-Aug,2024,Yes,8
Rock Paper Scissors,age 8+,05-Aug,2024,Yes,8
Pokémon Concierge,age 8+,05-Aug,2023,Yes,8
The Heroic Quest of the Valiant Prince Ivandoe,age 8+,05-Aug,2023,Yes,8
Unicorn Academy,age 8+,05-Aug,2023,Yes,8
Lego Marvel Avengers: Code Red,age 8+,05-Aug,2023,Yes,8
Elemon,age 8+,05-Aug,2023,Yes,8
Tiny Toons Looniversity,age 8+,05-Aug,2023,Yes,8
Zombies: The Re-Animated Series Shorts,age 8+,05-Aug,2023,Yes,8
Supa Team 4,age 8+,05-Aug,2023,Yes,8
My Adventures with Superman,age 8+,05-Aug,2023,Yes,8
"Wake Up, Carlo!",age 8+,05-Aug,2023,Yes,8
Kizazi Moto: Generation Fire,age 8+,05-Aug,2023,Yes,8
Hailey's On It!,age 8+,05-Aug,2023,Yes,8
Gremlins: Secrets of the Mogwai,age 8+,05-Aug,2023,Yes,8
Kitti Katz,age 8+,05-Aug,2023,Yes,8
We Lost Our Human,age 8+,05-Aug,2023,Yes,8
Karate Sheep,age 8+,05-Aug,2023,Yes,8
Mighty Ducks: The Animated Series,age 8+,05-Aug,2023,Yes,8
Quack Pack,age 8+,05-Aug,2023,Yes,8
Fantastic Four: World's Greatest Heroes,age 8+,05-Aug,2023,Yes,8
Marvel's Avengers Secret Wars Shorts,age 8+,05-Aug,2023,Yes,8
Marvel's Moon Girl and Devil Dinosaur,age 8+,05-Aug,2023,Yes,8
The Wingfeather Saga,age 8+,05-Aug,2022,Yes,8
Jurassic World Camp Cretaceous: Hidden Adventure,age 8+,05-Aug,2022,Yes,8
Transformers: EarthSpark,age 8+,05-Aug,2022,Yes,8
Zootopia+,age 8+,05-Aug,2022,Yes,8
The Nutty Boy,age 8+,05-Aug,2022,Yes,8
Minions & More,age 8+,05-Aug,2022,Yes,8
Battle Kitty,age 8+,05-Aug,2022,Yes,8
Transformers: BotBots,age 8+,05-Aug,2022,Yes,8
The Cuphead Show!,age 8+,05-Aug,2022,Yes,8
Big Nate,age 8+,05-Aug,2022,Yes,8
Angry Birds: Summer Madness,age 8+,05-Aug,2022,Yes,8
El Deafo,age 8+,05-Aug,2022,Yes,8
Dragons: The Nine Realms,age 8+,05-Aug,2021,Yes,8
5 More Sleeps 'Til Christmas,age 8+,05-Aug,2021,Yes,8
Aquaman: King of Atlantis,age 8+,05-Aug,2021,Yes,8
Wolfboy and the Everything Factory,age 8+,05-Aug,2021,Yes,8
The Croods: Family Tree,age 8+,05-Aug,2021,Yes,8
He-Man and the Masters of the Universe,age 8+,05-Aug,2021,Yes,8
Lego Monkie Kid,age 8+,05-Aug,2021,Yes,8
Pepper Ann,age 8+,05-Aug,2021,Yes,8
Centaurworld,age 8+,05-Aug,2021,Yes,8
Adventure Time: Distant Lands - Together Again,age 8+,05-Aug,2021,Yes,8
The Fury Files,age 8+,05-Aug,2021,Yes,8
Elliott from Earth,age 8+,05-Aug,2021,Yes,8
Kid Cosmic,age 8+,05-Aug,2021,Yes,8
Squish,age 8+,05-Aug,2021,Yes,8
Spirit Riding Free: Ride Along Adventure,age 8+,05-Aug,2020,Yes,8
Captain Underpants: Mega Blissmas,age 8+,05-Aug,2020,Yes,8
Bugs Bunny's 24 Carrot Holiday Special,age 8+,05-Aug,2020,Yes,8
The Mighty Ones,age 8+,05-Aug,2020,Yes,8
Zombies: Addison's Moonstone Mystery,age 8+,05-Aug,2020,Yes,8
Rainbow High,age 8+,05-Aug,2020,Yes,8
Alien TV,age 8+,05-Aug,2020,Yes,8
Adventure Time: Distant Lands - BMO,age 8+,05-Aug,2020,Yes,8
Xavier Riddle and the Secret Movie: I Am Madam President,age 8+,05-Aug,2020,Yes,8
Glitch Techs,age 8+,05-Aug,2020,Yes,8
ThunderCats Roar!,age 8+,05-Aug,2020,Yes,8
The Owl House,age 8+,05-Aug,2020,Yes,8
Costume Quest: Heroes on Holiday,age 8+,05-Aug,2019,Yes,8
Xavier Riddle and the Secret Museum,age 8+,05-Aug,2019,Yes,8
Super Dinosaur,age 8+,05-Aug,2019,Yes,8
Power Players,age 8+,05-Aug,2019,Yes,8
Invader Zim: Enter the Florpus,age 8+,05-Aug,2019,Yes,8
Twelve Forever,age 8+,05-Aug,2019,Yes,8
Mao Mao: Heroes of Pure Heart,age 8+,05-Aug,2019,Yes,8
Amphibia,age 8+,05-Aug,2019,Yes,8
DC Super Hero Girls,age 8+,05-Aug,2019,Yes,8
Costume Quest,age 8+,05-Aug,2019,Yes,8
Bakugan: Battle Planet,age 8+,05-Aug,2019,Yes,8
She-Ra and the Princesses of Power,age 8+,05-Aug,2018,Yes,8
Minecraft: Story Mode,age 8+,05-Aug,2018,Yes,8
Mega Man: Fully Charged,age 8+,05-Aug,2018,Yes,8
The Adventures of Rocky and Bullwinkle,age 8+,05-Aug,2018,Yes,8
Michael Jackson's Halloween,age 8+,05-Aug,2017,Yes,8
Powerpuff Girls: Power of Four,age 8+,05-Aug,2017,Yes,8
Lego Elves: Secrets of Elvendale,age 8+,05-Aug,2017,Yes,8
Star Wars: Forces of Destiny,age 8+,05-Aug,2017,Yes,8
DanTDM Creates a Big Scene,age 8+,05-Aug,2017,Yes,8
Edgar Rice Burroughs' Tarzan and Jane,age 8+,05-Aug,2017,Yes,8
Beyblade Burst,age 8+,05-Aug,2016,Yes,8
Ben 10 (2016),age 8+,05-Aug,2016,Yes,8
Kulipari: An Army of Frogs,age 8+,05-Aug,2016,Yes,8
Future-Worm!,age 8+,05-Aug,2016,Yes,8
Voltron: Legendary Defender,age 8+,05-Aug,2016,Yes,8
The Loud House,age 8+,05-Aug,2016,Yes,8
Kong: King of the Apes,age 8+,05-Aug,2016,Yes,8
The Powerpuff Girls (2016),age 8+,05-Aug,2016,Yes,8
We Bare Bears,age 8+,05-Aug,2015,Yes,8
Marvel's Guardians of the Galaxy,age 8+,05-Aug,2015,Yes,8
The Day My Butt Went Psycho,age 8+,05-Aug,2015,Yes,8
Dragons: Race to the Edge,age 8+,05-Aug,2015,Yes,8
Two More Eggs,age 8+,05-Aug,2015,Yes,8
Thunderbirds Are Go,age 8+,05-Aug,2015,Yes,8
Transformers: Robots in Disguise,age 8+,05-Aug,2015,Yes,8
Qumi-Qumi,age 8+,05-Aug,2015,Yes,8
Over the Garden Wall,age 8+,05-Aug,2014,Yes,8
Star Wars Rebels,age 8+,05-Aug,2014,Yes,8
LBX: Little Battlers Experience,age 8+,05-Aug,2014,Yes,8
Miniforce,age 8+,05-Aug,2014,Yes,8
Ever After High,age 8+,05-Aug,2014,Yes,8
Mind-Blowing Breakthroughs,age 8+,05-Aug,2014,Yes,8
The Powerpuff Girls: Dance Pantsed,age 8+,05-Aug,2014,Yes,8
Sabrina: Secrets of a Teenage Witch,age 8+,05-Aug,2013,No,8
Gravity Falls Shorts,age 8+,05-Aug,2013,No,8
Uncle Grandpa,age 8+,05-Aug,2013,No,8
Marvel's Avengers Assemble,age 8+,05-Aug,2013,No,8
Max Steel,age 8+,05-Aug,2013,No,8
SheZow,age 8+,05-Aug,2012,No,8
BeyWheelz,age 8+,05-Aug,2012,No,8
Teenage Mutant Ninja Turtles,age 8+,05-Aug,2012,No,8
Dragons: Riders of Berk,age 8+,05-Aug,2012,No,8
Gravity Falls,age 8+,05-Aug,2012,No,8
Kaijudo: Rise of the Duel Masters,age 8+,05-Aug,2012,No,8
The Legend of Korra,age 8+,05-Aug,2012,No,8
Green Lantern: The Animated Series,age 8+,05-Aug,2012,No,8
Monsuno,age 8+,05-Aug,2012,No,8
Dream Defenders,age 8+,05-Aug,2011,No,8
Redakai: Conquer the Kairu,age 8+,05-Aug,2011,No,8
Voltron Force,age 8+,05-Aug,2011,No,8
The Amazing World of Gumball,age 8+,05-Aug,2011,No,8
The Looney Tunes Show,age 8+,05-Aug,2011,No,8
Almost Naked Animals,age 8+,05-Aug,2011,No,8
Young Justice,age 8+,05-Aug,2011,No,8
Transformers Prime,age 8+,05-Aug,2010,No,8
G.I. Joe Renegades,age 8+,05-Aug,2010,No,8
Zevo-3,age 8+,05-Aug,2010,No,8
